team,player,player_id,position,competition,season,games,possible_games,goals,assists,minutes,start11_pct,yellow,red,clean_sheets,conceded,minutes_pct,second_yellow,gc_pct,gc_pct_nopen
Algeria,Riyad Mahrez,171424,Right Winger,FIFA Intercontinental Cup,25/26,1,1,0,0,90,100.0,0,0,0,0,100.0,0,0.0,0.0
Algeria,Riyad Mahrez,171424,Right Winger,AFC Champions League,25/26,11,12,4,2,920,91.66666666666666,0,0,0,0,80.7017543859649,0,22.22222222222222,27.27272727272727
Algeria,Riyad Mahrez,171424,Right Winger,King's Cup,25/26,3,4,0,1,318,75.0,0,0,0,0,75.71428571428571,0,5.263157894736842,11.11111111111111
Algeria,Riyad Mahrez,171424,Right Winger,Saudi Super Cup,25/26,2,2,0,3,168,100.0,0,0,0,0,93.33333333333333,0,25.0,42.857142857142854
Algeria,Amine Gouiri,418659,Centre-Forward,Ligue 1,25/26,22,34,8,3,1331,44.11764705882353,1,0,0,0,43.49673202614379,0,17.46031746031746,28.947368421052634
Algeria,Amine Gouiri,418659,Centre-Forward,UEFA Champions League,25/26,3,8,0,0,165,25.0,1,0,0,0,22.916666666666664,0,0.0,0.0
Algeria,Amine Gouiri,418659,Centre-Forward,Coupe de France,25/26,2,4,3,2,142,50.0,0,0,0,0,39.44444444444444,0,21.73913043478261,41.66666666666667
Algeria,Amine Gouiri,418659,Centre-Forward,Trophée des Champions,25/26,1,1,0,0,67,100.0,0,0,0,0,74.44444444444444,0,0.0,0.0
Algeria,Mohamed Amoura,746910,Centre-Forward,Bundesliga,25/26,30,34,8,4,1928,67.64705882352942,2,0,0,0,63.006535947712415,0,26.666666666666668,29.268292682926827
Algeria,Mohamed Amoura,746910,Centre-Forward,Bundesliga Playoffs,25/26,2,2,0,0,40,0.0,0,0,0,0,19.047619047619047,0,0.0,0.0
Algeria,Mohamed Amoura,746910,Centre-Forward,DFB-Pokal,25/26,1,2,0,0,90,50.0,1,0,0,0,50.0,0,0.0,0.0
Algeria,Nadhir Benbouali,840254,Centre-Forward,NB I.,25/26,32,33,15,6,2562,90.9090909090909,4,0,0,0,86.26262626262627,0,32.30769230769231,32.8125
Algeria,Nadhir Benbouali,840254,Centre-Forward,UECL Qualifying,25/26,6,6,2,0,518,100.0,1,0,0,0,95.92592592592592,0,22.22222222222222,22.22222222222222
Algeria,Nadhir Benbouali,840254,Centre-Forward,Magyar Kupa,25/26,3,5,2,0,162,20.0,0,0,0,0,31.76470588235294,0,9.523809523809524,12.5
Argentina,Emiliano Martínez,111873,Goalkeeper,Premier League,25/26,32,38,0,1,2835,84.21052631578947,2,0,8,39,82.89473684210526,0,1.7857142857142856,2.1739130434782608
Argentina,Emiliano Martínez,111873,Goalkeeper,Europa League,25/26,11,15,0,0,990,73.33333333333333,1,0,6,7,73.33333333333333,0,0.0,0.0
Argentina,Emiliano Martínez,111873,Goalkeeper,FA Cup,25/26,1,2,0,0,45,0.0,0,0,0,3,25.0,0,0.0,0.0
Argentina,Gerónimo Rulli,229604,Goalkeeper,Ligue 1,25/26,29,34,0,0,2610,85.29411764705883,3,0,8,34,85.29411764705883,0,0.0,0.0
Argentina,Gerónimo Rulli,229604,Goalkeeper,UEFA Champions League,25/26,8,8,0,0,720,100.0,0,0,1,14,100.0,0,0.0,0.0
Argentina,Gerónimo Rulli,229604,Goalkeeper,Coupe de France,25/26,1,4,0,0,90,25.0,0,0,0,2,25.0,0,0.0,0.0
Argentina,Gerónimo Rulli,229604,Goalkeeper,Trophée des Champions,25/26,1,1,0,0,90,100.0,0,0,0,2,100.0,0,0.0,0.0
Argentina,Juan Musso,242359,Goalkeeper,LaLiga,25/26,8,38,0,0,720,21.052631578947366,2,0,3,13,21.052631578947366,0,0.0,0.0
Argentina,Juan Musso,242359,Goalkeeper,UEFA Champions League,25/26,4,16,0,0,360,25.0,0,0,1,6,25.0,0,0.0,0.0
Argentina,Juan Musso,242359,Goalkeeper,Copa del Rey,25/26,6,6,0,0,570,100.0,1,0,3,7,100.0,0,0.0,0.0
Argentina,Juan Musso,242359,Goalkeeper,Supercopa,25/26,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0
Argentina,Cristian Romero,355915,Centre-Back,Premier League,25/26,23,38,4,1,1873,57.89473684210527,9,1,0,0,54.76608187134503,1,10.416666666666668,17.24137931034483
Argentina,Cristian Romero,355915,Centre-Back,UEFA Champions League,25/26,8,10,1,3,694,80.0,2,0,0,0,77.11111111111111,0,18.181818181818183,20.0
Argentina,Cristian Romero,355915,Centre-Back,UEFA Super Cup,25/26,1,1,1,0,90,100.0,0,0,0,0,100.0,0,20.0,50.0
Argentina,Lisandro Martínez,480762,Centre-Back,Premier League,25/26,18,38,0,0,1231,34.21052631578947,0,1,0,0,35.994152046783626,0,0.0,0.0
Argentina,Lisandro Martínez,480762,Centre-Back,FA Cup,25/26,1,1,0,0,79,100.0,0,0,0,0,87.77777777777777,0,0.0,0.0
Argentina,Marcos Senesi,469781,Centre-Back,Premier League,25/26,37,38,0,5,3290,97.36842105263158,8,0,0,0,96.19883040935673,0,8.620689655172415,8.620689655172415
Argentina,Marcos Senesi,469781,Centre-Back,FA Cup,25/26,1,1,0,0,30,0.0,0,0,0,0,25.0,0,0.0,0.0
