player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Koki Machida","Hoffenheim","D","45","1","0","0","0","0","0","0","0","0"
"Leon Avdullahu","Hoffenheim","M S","2860","33","0","1","14","22","0.5229936568066478","1.3252581506967545","0","0.5229936568066478"
"Yannik Wagner","FC Heidenheim","S","31","4","0","0","1","3","0.024279415607452393","0.2785300724208355","0","0.024279415607452393"
"Cyriaque Irié","Freiburg","M S","331","10","0","0","7","4","0.6037380173802376","0.12981241568922997","0","0.6037380173802376"
"Matheo Raab","Union Berlin","GK","90","1","0","0","0","0","0","0","0","0"
"Lazar Jovanovic","VfB Stuttgart","S","23","3","0","0","1","2","0.0999414473772049","0.09531611576676369","0","0.0999414473772049"
"Arkadiusz Pyrka","St. Pauli","D M S","2596","31","0","1","19","24","1.008908435702324","2.2230269787833095","0","1.008908435702324"
"Jobe Bellingham","Borussia Dortmund","M S","1779","32","0","1","19","9","0.9893369525671005","0.7723528351634741","0","0.9893369525671005"
"Joël Schmied","FC Cologne","D S","1090","16","0","0","4","2","0.22122081648558378","0.14580537378787994","0","0.22122081648558378"
"Sebastian Sebulonsen","FC Cologne","D S","2519","31","0","0","31","21","1.4893776644021273","2.7618500273674726","0","1.4893776644021273"
"Kristoffer Lund","FC Cologne","D M S","2319","33","0","2","20","20","0.631946531124413","1.743918489664793","0","0.631946531124413"
"Jusuf Gazibegovic","FC Cologne","S","17","1","0","0","0","0","0","0","0","0"
"Rav van den Berg","FC Cologne","D S","1138","14","0","1","1","1","0.10706858336925507","0.49569860100746155","0","0.10706858336925507"
"Daniel Elfadli","Hamburger SV","D S","1257","21","0","0","4","2","0.6049705110490322","0.17046347633004189","0","0.6049705110490322"
"Giorgi Gocholeishvili","Hamburger SV","D S","909","24","0","1","14","9","0.9827461671084166","0.6386436335742474","0","0.9827461671084166"
"Miro Muheim","Hamburger SV","D M S","2443","29","0","4","24","40","1.3705227468162775","3.492499830201268","0","1.3705227468162775"
"Emir Sahiti","Hamburger SV","F","124","2","0","0","0","1","0","0.013570391573011875","0","0"
"Alexander Røssing-Lelesiit","Hamburger SV","F M S","319","11","0","1","2","5","0.08903256431221962","0.7265190482139587","0","0.08903256431221962"
"Aboubaka Soumahoro","Hamburger SV","D S","140","4","0","0","0","1","0","0.020567389205098152","0","0"
"Otto Stange","Hamburger SV","F S","275","10","0","0","9","1","0.6612029634416103","0.10392893105745316","0","0.6612029634416103"
"Andrija Maksimovic","RasenBallsport Leipzig","S","77","8","0","0","2","3","0.0663988795131445","0.3666895739734173","0","0.0663988795131445"
"Aiman Dardari","Augsburg","S","21","3","0","0","1","0","0.05606662854552269","0","0","0.05606662854552269"
"Sota Kawasaki","Mainz 05","D M S","295","10","0","0","1","0","0.04572444409132004","0","0","0.04572444409132004"
"Ezequiél Fernández","Bayer Leverkusen","M S","1009","20","0","1","11","8","0.534800324589014","0.7951555736362934","0","0.534800324589014"
"William Bøving","Mainz 05","M S","206","9","0","1","1","4","0.01329879555851221","0.5447267256677151","0","0.01329879555851221"
"Cassiano Kiala","Bayern Munich","S","1","1","0","0","0","0","0","0","0","0"
"Tobias Weigel","FC Heidenheim","S","1","1","0","0","0","0","0","0","0","0"
"Dmytro Bogdanov","Union Berlin","S","2","2","0","0","3","0","0.5116710662841797","0","0","0.5116710662841797"
"Jan Urbich","Borussia M.Gladbach","S","28","3","0","0","0","1","0","0.027196358889341354","0","0"
"David Santos","Bayern Munich","S","25","2","0","0","1","0","0.030350076034665108","0","0","0.030350076034665108"
"Fabio Moreno Fell","Mainz 05","F S","80","2","0","0","1","0","0.051751505583524704","0","0","0.051751505583524704"
"Pharell Hensel","Wolfsburg","M S","68","5","0","0","1","0","0.018602386116981506","0","0","0.018602386116981506"
"Samba Konate","RasenBallsport Leipzig","S","1","1","0","0","1","0","0.0413617305457592","0","0","0.0413617305457592"
"Cenny Neumann","FC Cologne","D S","74","2","0","0","0","0","0","0","0","0"
"Tim Schnitzer","Augsburg","S","1","1","0","0","0","0","0","0","0","0"
"Fynn Schenten","FC Cologne","F S","86","7","0","0","1","1","0.030162783339619637","0.36186322569847107","0","0.030162783339619637"
"Felipe Chávez","Bayern Munich,FC Cologne","S","88","9","0","0","6","1","0.2693987935781479","0.11142665147781372","0","0.2693987935781479"
"Deniz Ofli","Bayern Munich","S","2","1","0","0","0","0","0","0","0","0"
"Kota Takai","Borussia M.Gladbach","D S","329","8","0","0","3","2","0.4108753725886345","0.03324531391263008","0","0.4108753725886345"
"Youssoupha Niang","FC Cologne","M S","179","10","0","0","5","3","0.3172231260687113","0.183741956949234","0","0.3172231260687113"
"Jeremy Arévalo","VfB Stuttgart","S","21","7","0","1","3","1","0.15828637033700943","0.062080275267362595","0","0.15828637033700943"
"Tomoya Ando","St. Pauli","D S","1263","15","0","1","8","6","0.5493685305118561","1.2957977838814259","0","0.5493685305118561"
"Sander Tangvik","Hamburger SV","GK","90","1","0","0","0","0","0","0","0","0"
"Mathias Rasmussen","St. Pauli","M S","692","13","0","0","6","5","0.7939996533095837","0.26394072920084","0","0.7939996533095837"
"Louis Lemke","Hamburger SV","S","1","1","0","0","0","0","0","0","0","0"
"Love Arrhov","Eintracht Frankfurt","M S","58","5","0","0","0","1","0","0.08526118099689484","0","0"
"Jonas Adjetey","Wolfsburg","D S","134","4","0","0","3","0","0.08738634176552296","0","0","0.08738634176552296"
"Mathis Albert","Borussia Dortmund","S","1","1","0","0","0","0","0","0","0","0"
"Christian Conteh","FC Heidenheim","F M S","398","9","0","0","3","7","0.13346002995967865","1.3750529736280441","0","0.13346002995967865"
"Uchenna Ogundu","Augsburg","S","33","5","0","0","3","0","0.15869352221488953","0","0","0.15869352221488953"
"Rouven Tarnutzer","Freiburg","S","4","1","0","0","0","0","0","0","0","0"
"Maycon Douglas Cardozo","Bayern Munich","S","31","2","0","0","0","0","0","0","0","0"
"Erblin Osmani","Bayern Munich","S","2","1","0","0","0","0","0","0","0","0"
"Shafiq Nandja","Hamburger SV","S","12","2","0","0","0","0","0","0","0","0"
"Linus Güther","Union Berlin","S","4","1","0","0","0","0","0","0","0","0"
"Bara Sapoko Ndiaye","Bayern Munich","M S","146","4","0","0","0","0","0","0","0","0"
