player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Achraf Hakimi","Paris Saint Germain","D F S","1382","18","2","2","27","21","2.8018143735826015","1.457746408879757","2","2.8018143735826015"
"Thomas Meunier","Lille","D S","1911","25","2","2","19","18","1.4096983447670937","2.757778810337186","2","1.4096983447670937"
"Vincent Marchetti","Paris FC","M S","798","23","2","1","24","4","2.1302939681336284","0.5922490283846855","2","2.1302939681336284"
"Ruben Aguilar","Lens","D S","1751","26","2","2","13","26","1.0442059729248285","3.235480770468712","2","1.0442059729248285"
"Denis Zakaria","Monaco","D M S","2039","24","2","1","18","6","2.5516049545258284","1.4270154759287834","2","2.5516049545258284"
"Jessy Deminguet","Metz","M S","2059","31","2","0","17","4","1.1191442692652345","0.6021527666598558","2","1.1191442692652345"
"Timothy Weah","Marseille","D M S","2286","29","2","2","29","30","2.7870269222185016","3.784172408282757","2","2.7870269222185016"
"Naif Aguerd","Marseille","D","1407","16","2","0","10","3","0.8858112841844559","0.2695878790691495","2","0.8858112841844559"
"Hamed Junior Traore","Marseille","D M S","612","13","2","1","13","10","2.745228759944439","0.8870153054594994","2","2.745228759944439"
"Joris Chotard","Brest","M S","2790","33","2","1","25","11","1.2767780357971787","0.5311056403443217","2","1.2767780357971787"
"Mama Baldé","Brest","F M S","712","18","2","2","31","7","2.966491736471653","0.4717954136431217","2","2.966491736471653"
"Melvin Bard","Nice","D M S","2393","29","2","1","15","15","0.796496226452291","1.8040241403505206","2","0.796496226452291"
"Mbwana Samatta","Le Havre","F S","1550","27","2","1","42","18","5.862232429906726","1.9108041394501925","2","5.862232429906726"
"Jean-Phillipe Krasso","Paris FC","F S","1082","25","2","2","27","23","4.3040565541014075","3.1578205032274127","1","3.5439614383503795"
"Sinaly Diomande","Auxerre","D","2138","24","2","2","9","5","2.9510611221194267","0.5142716225236654","2","2.9510611221194267"
"Terem Igobor Moffi","Nice","F S","484","10","2","0","16","5","2.451147548854351","0.6640479266643524","2","2.451147548854351"
"Martín Satriano","Lyon","F S","696","11","2","1","16","10","2.151202028617263","1.252128679305315","2","2.151202028617263"
"Théo Le Bris","Lorient","D S","1915","28","2","2","17","13","1.935364414472133","1.3978275619447231","2","1.935364414472133"
"Tyler Morton","Lyon","M","2549","29","2","2","28","28","2.0557506382465363","2.42852935846895","2","2.0557506382465363"
"Louis Mouton","Angers","M S","1947","32","2","1","36","22","3.078808242455125","2.3375241328030825","2","3.078808242455125"
"Mika Biereth","Monaco","F M S","1051","32","2","2","19","18","3.207695998251438","2.307873759418726","2","3.207695998251438"
"Guemissongui Ouattara","Strasbourg","D M S","1763","28","2","0","27","6","2.8173498455435038","1.7850391454994678","2","2.8173498455435038"
"Yassin Belkhdim","Angers","M S","2175","27","2","2","33","15","2.30356415361166","1.5286035342141986","2","2.30356415361166"
"Guela Doué","Strasbourg","D M S","2065","24","2","6","12","19","1.8365227379836142","2.7406088560819626","2","1.8365227379836142"
"Himad Abdelli","Angers,Marseille","M S","1075","21","2","0","15","9","1.9301752112805843","0.554893160238862","0","0.40998492017388344"
"Abdallah Sima","Lens","D F M S","693","21","2","2","30","10","3.332493230700493","0.7596801817417145","2","3.332493230700493"
"Ethan Nwaneri","Marseille","M S","334","9","2","1","9","5","0.8861830700188875","0.979939728975296","2","0.8861830700188875"
"Lilian Raolisoa","Angers","D F M S","1975","32","2","4","16","22","1.03963359631598","3.5283372923731804","2","1.03963359631598"
"Samuel Amo-Ameyaw","Strasbourg","D M S","1010","25","2","2","17","13","1.184529721736908","1.2297662692144513","2","1.184529721736908"
"Cristian Cásseres Jr.","Toulouse","M S","2506","30","2","3","26","37","1.70372299477458","3.142685988917947","2","0.9436278305947781"
"Yassine Kechta","Le Havre","F M S","1343","30","2","1","21","15","1.540558686479926","1.839314803481102","2","1.540558686479926"
"Koffi Kouao","Metz","D","2296","27","2","1","23","11","1.6477266969159245","1.2461658138781786","2","1.6477266969159245"
"Sadibou Sané","Metz","D S","1940","23","2","1","6","3","0.2977111414074898","0.27273041382431984","2","0.2977111414074898"
"Amir Murillo","Marseille","D M S","978","16","2","1","9","11","1.0468609929084778","1.9396317675709724","2","1.0468609929084778"
"Arthur Avom","Lorient","M S","2095","31","2","1","21","31","1.0540359923616052","3.175200704485178","2","1.0540359923616052"
"Malick Fofana","Lyon","M S","766","12","2","1","19","10","2.7092563677579165","2.255652729421854","2","2.7092563677579165"
"Beraldo","Paris Saint Germain","D M S","1579","20","2","1","14","14","1.3617767803370953","1.5083925519138575","2","1.3617767803370953"
"Valentín Barco","Strasbourg","M S","2187","27","2","4","27","38","3.289822520688176","5.2952551282942295","2","3.289822520688176"
"George Ilenikhena","Monaco","F S","343","15","2","0","15","3","1.2629067562520504","0.2268627993762493","2","1.2629067562520504"
"Dayann Methalie","Toulouse","D S","1906","27","2","1","15","10","1.47647943533957","2.021740846335888","2","1.47647943533957"
"Bahereba Guirassy","Nantes","F M S","799","20","2","1","15","7","1.9868665523827076","1.0273366682231426","2","1.9868665523827076"
"Saud Abdulhamid","Lens","D S","1335","25","2","4","8","23","1.1027701515704393","2.749265618622303","2","1.1027701515704393"
"Abdelhamid Aït Boudlal","Rennes","D S","1396","20","2","1","13","1","1.8210137831047177","0.531465470790863","2","1.8210137831047177"
"Goduine Koyalipou","Angers","F S","669","13","2","1","22","5","3.3784401938319206","0.304029518738389","1","2.6183450743556023"
"Rudy Matondo","Auxerre,Paris FC","D M S","1333","27","2","0","13","5","1.8190970439463854","0.2419236395508051","2","1.8190970439463854"
"Samson Baidoo","Lens","D S","1823","23","2","1","16","3","2.39372334536165","0.4557065162807703","2","2.39372334536165"
"Arsène Kouassi","Lorient","D S","2642","31","2","6","9","32","0.644349536858499","4.931435273960233","2","0.644349536858499"
"Giorgi Abuashvili","Metz","D F M S","655","23","2","0","23","7","1.1833200315013528","0.5751661360263824","2","1.1833200315013528"
"Julián Vignolo","Toulouse","M S","154","13","2","0","8","7","1.6874926052987576","0.330946609377861","2","1.6874926052987576"
"Djibirin Harouna","Angers","M S","286","15","2","1","7","4","1.2620018012821674","0.6283082962036133","2","1.2620018012821674"
"Noah Nartey","Lyon","M S","536","11","2","0","5","3","1.0777640342712402","0.08317125402390957","2","1.0777640342712402"
"Nathan Mbala","Metz","F M S","426","13","2","2","15","13","0.6993163898587227","1.0733802691102028","2","0.6993163898587227"
"Giorgi Kvilitaia","Metz","F S","503","10","2","0","12","9","1.3176763448864222","1.193804420530796","2","1.3176763448864222"
"Eric Dier","Monaco","D S","693","9","1","0","3","1","0.5377254784107208","0.028601836413145065","1","0.5377254784107208"
"Seko Fofana","Rennes","M S","659","12","1","0","9","11","0.7612503450363874","0.6452769339084625","1","0.7612503450363874"
"Sofiane Boufal","Le Havre","F M S","1050","17","1","4","19","27","1.5026695374399424","3.6345375943928957","1","0.7425743956118822"
"Ainsley Maitland-Niles","Lyon","D M S","2496","30","1","4","14","21","2.5538895074278116","3.50098211504519","1","1.7937943432480097"
"Fabián","Paris Saint Germain","M S","1138","20","1","4","19","19","1.869937714189291","2.1869753282517195","1","1.869937714189291"
"Aissa Mandi","Lille","D S","2432","29","1","0","14","10","0.8599839098751545","1.0037057306617498","1","0.8599839098751545"
"Gaetan Perrin","Lille","F M S","314","12","1","0","7","10","0.6199672203511","1.1194870546460152","1","0.6199672203511"
"Florian Sotoca","Lens","F M S","458","26","1","0","13","7","0.7197620361112058","0.9359718095511198","1","0.7197620361112058"
"Benjamin Pavard","Marseille","D S","1932","27","1","2","11","12","1.0296637825667858","2.1012834049761295","1","1.0296637825667858"
"Gautier Lloris","Le Havre","D S","2397","29","1","1","12","4","1.2026095436885953","1.0743397623300552","1","1.2026095436885953"
"Lucas Tousart","Brest","D M S","820","24","1","0","8","4","0.6973812971264124","0.4796754773706198","1","0.6973812971264124"
"Jean-Philippe Gbamin","Metz","D M S","2487","31","1","1","14","15","1.9497385416179895","1.4501640880480409","1","1.9497385416179895"
"Laurent Abergel","Lorient","M S","2347","28","1","0","22","15","0.7855375036597252","0.8618717035278678","1","0.7855375036597252"
"Pierre Lees-Melou","Brest,Paris FC","M S","1971","24","1","3","31","19","1.580171943642199","2.8613359704613686","1","1.580171943642199"
"Arnaud Nordin","Rennes","D F M S","586","10","1","3","20","6","1.3559088744223118","1.4128927364945412","1","1.3559088744223118"
