player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Lucas Veríssimo","Santos","990","0","0","5","1","0","1","1.01","0.07"
"Nonato","Fluminense","382","1","1","2","1","5","1","1","1.2"
"Gustavo Gómez","Palmeiras","1430","3","0","13","4","6","0","0.99","0.95"
"José Herrera","Red Bull Bragantino","727","1","0","18","6","10","10","0.97","0.76"
"Bruno Henrique","Internacional","923","0","1","16","4","10","2","0.96","0.93"
"André Luis","Mirassol","447","1","0","5","2","4","1","0.96","0.19"
"Murilo","Palmeiras","1307","1","1","7","2","5","3","0.96","0.7"
"José Enamorado","Grêmio","853","0","2","13","3","9","14","0.95","0.77"
"Dudu","Athletico","631","1","1","5","2","8","6","0.94","0.57"
"Erick Pulga","Bahia","1175","0","1","17","6","9","18","0.93","1.21"
"Raniele","Corinthians","1229","1","0","15","2","3","9","0.93","0.15"
"Juan Nardoni","Grêmio","736","1","1","8","1","6","4","0.92","0.27"
"David Duarte","Bahia","990","2","0","11","6","3","0","0.91","0.18"
"Iván Román","Atlético Mineiro","442","1","0","3","1","0","2","0.91","0.04"
"Kaiki","Cruzeiro","1418","0","2","18","6","18","24","0.88","2.24"
"Gustavo Henrique","Corinthians","1350","0","0","14","4","4","1","0.86","0.46"
"Gustavo Martins","Grêmio","893","0","2","9","1","6","2","0.86","0.38"
"Damián Bobadilla","São Paulo","1075","0","2","13","5","15","6","0.81","1.44"
"Edson Carioca","Mirassol","482","1","0","11","2","6","12","0.81","0.27"
"Vitinho","Corinthians","357","0","0","10","2","5","7","0.8","0.44"
"Memphis Depay","Corinthians","465","1","0","6","2","8","7","0.8","1.15"
"Wanderson","Cruzeiro","381","1","0","11","3","1","3","0.79","0.32"
"Ramón Sosa","Palmeiras","686","2","1","13","4","12","12","0.78","0.5"
"Evertton Araujo","Flamengo","849","0","1","16","0","8","1","0.78","0.98"
"Ruan","Atlético Mineiro","1330","1","0","6","2","3","4","0.77","0.26"
"Eduardo Doma","Chapecoense","1283","1","0","11","3","5","4","0.77","0.53"
"Patrick","Remo","1028","0","0","11","2","13","11","0.77","1.02"
"Ademir","Bahia","570","0","1","15","6","7","11","0.77","1.23"
"Juan Felipe Aguirre","Athletico","1161","1","0","9","5","1","1","0.76","0.06"
"Everton Galdino","Mirassol","234","0","0","6","1","3","3","0.76","0.32"
"Diego Tarzia","Vitória","317","2","1","13","7","3","7","0.75","0.37"
"Everton","Chapecoense","958","0","1","9","2","9","9","0.75","0.86"
"João Vitor","Chapecoense","605","0","0","19","3","12","7","0.75","0.44"
"Léo Pereira","Flamengo","1231","1","0","16","3","5","1","0.75","0.53"
"Marcinho","Chapecoense","810","1","1","18","5","11","16","0.74","0.35"
"Juan Pablo Freytes","Fluminense","1350","0","0","12","2","6","4","0.74","0.42"
