player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Matt Doherty","Wolverhampton Wanderers","D","822","11","0","0","3","3","0.08226848393678665","0.17279621958732605","0","0.08226848393678665"
"Axel Disasi","West Ham","D","1258","14","0","0","5","1","1.0807171128690243","0.023904647678136826","0","1.0807171128690243"
"Matz Sels","Nottingham Forest","GK S","2672","31","0","0","0","0","0","0","0","0"
"Naif Aguerd","West Ham","D","180","2","0","0","2","0","0.0885777547955513","0","0","0.0885777547955513"
"Hamed Junior Traore","Bournemouth","S","13","1","0","1","0","1","0","0.09559009969234467","0","0"
"Borna Sosa","Crystal Palace","S","88","7","0","0","1","2","0.039044611155986786","0.076265724375844","0","0.039044611155986786"
"Christian Nørgaard","Arsenal","M S","93","7","0","0","2","0","0.0686947088688612","0","0","0.0686947088688612"
"Benoit Badiashile Mukinayi","Chelsea","D S","478","8","0","0","0","0","0","0","0","0"
"Bafode Diakite","Bournemouth","D S","1276","18","0","0","1","2","0.013867756351828575","0.08456607162952423","0","0.013867756351828575"
"Ben White","Arsenal","D S","703","12","0","1","5","8","0.28292371705174446","1.557781394571066","0","0.28292371705174446"
"Max Kilman","West Ham","D S","1552","21","0","0","7","4","1.1671122973784804","0.20770752429962158","0","1.1671122973784804"
"Reinildo","Sunderland","D S","1974","25","0","1","4","6","0.1700047692283988","0.29589132592082024","0","0.1700047692283988"
"Harvey Elliott","Aston Villa,Liverpool","M S","110","5","0","0","5","1","0.2895753085613251","0.09384871274232864","0","0.2895753085613251"
"Wesley Fofana","Chelsea","D S","1745","25","0","1","8","3","0.5401721596717834","0.658527560532093","0","0.5401721596717834"
"Dean Henderson","Crystal Palace","GK","3330","37","0","0","0","1","0","0.015475641936063766","0","0"
"Ezri Konsa Ngoyo","Aston Villa","D","3036","34","0","0","11","5","1.0740509293973446","0.6014871783554554","0","1.0740509293973446"
"Sebastiaan Bornauw","Leeds","D S","438","12","0","0","1","0","0.1316642463207245","0","0","0.1316642463207245"
"Caoimhin Kelleher","Brentford","GK","3330","37","0","0","0","2","0","0.10640144906938076","0","0"
"Igor Julio","West Ham","D S","94","4","0","0","0","1","0","0.018099337816238403","0","0"
"Sandro Tonali","Newcastle United","M S","2586","35","0","2","37","32","1.4170023752376437","3.7605556417256594","0","1.4170023752376437"
"Ilia Gruev","Leeds","M S","1310","23","0","3","7","11","0.7337606139481068","1.4936000779271126","0","0.7337606139481068"
"Arnaud Kalimuendo Muinga","Nottingham Forest","S","75","9","0","0","4","1","0.25108829140663147","0.011348750442266464","0","0.25108829140663147"
"Guido Rodríguez","West Ham","M S","159","6","0","0","1","0","0.024249104782938957","0","0","0.024249104782938957"
"Sander Berge","Fulham","M S","2935","35","0","1","14","21","1.3464614748954773","1.985070546157658","0","1.3464614748954773"
"Ki-Jana Hoever","Wolverhampton Wanderers","D S","437","8","0","0","1","5","0.00923213642090559","0.33877117466181517","0","0.00923213642090559"
"Luca Netz","Nottingham Forest","D S","348","7","0","0","0","2","0","0.09805777668952942","0","0"
"Jorge Cuenca","Fulham","D S","949","15","0","0","1","3","0.050821494311094284","0.5158752724528313","0","0.050821494311094284"
"Dennis Cirkin","Sunderland","D S","312","8","0","0","1","0","0.06635839492082596","0","0","0.06635839492082596"
"Pascal Struijk","Leeds","D S","2940","34","0","1","31","12","2.967387342825532","1.093722109682858","0","2.967387342825532"
"Jack Harrison","Leeds","F S","232","11","0","0","6","1","0.43386831134557724","0.3380284607410431","0","0.43386831134557724"
"Stefan Ortega Moreno","Nottingham Forest","GK","270","3","0","0","0","0","0","0","0","0"
"Wataru Endo","Liverpool","D S","162","8","0","1","1","1","0.06196111440658569","0.13890482485294342","0","0.06196111440658569"
"Sasa Kalajdzic","Wolverhampton Wanderers","S","11","1","0","0","0","0","0","0","0","0"
