player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
Novak Mićović,LA Galaxy,2019,0,0,0,0,0.0,0.0
Tanner Beason,New England Revolution,2166,3,2,0,3,0.1535,0.4119
Kevin Long,Toronto FC,2111,11,2,0,2,1.0556,0.5033
Amine Bassi,Houston Dynamo FC,1954,17,4,2,39,2.005,2.7712
Griffin Dorsey,Houston Dynamo FC,3022,35,8,2,32,2.8282,4.3362
Kim Joon-Hong,D.C. United,807,0,0,0,0,0.0,0.0
Victor Olatunji,Real Salt Lake,778,23,14,4,5,4.3536,0.5019
Alex Mighten,San Diego FC,1236,22,8,1,11,2.5585,1.2574
Tai Baribo,Philadelphia Union,2317,61,25,18,23,15.3073,2.1547
Marco Farfan,FC Dallas,1469,4,1,0,11,0.4743,1.4913
Pep Biel,Charlotte FC,2203,55,23,10,47,7.621,8.5131
Timo Baumgartl,St. Louis City SC,1998,10,1,0,7,1.4047,0.8796
Eduard Atuesta,Orlando City SC,2651,28,6,0,54,2.6194,5.4331
Djordje Mihailovic,Toronto FC,3263,65,28,13,80,11.797,11.0251
Chidozie Awaziem,Colorado Rapids,1990,13,2,0,4,1.8445,1.1895
Aleksey Miranchuk,Atlanta United FC,3075,66,21,6,45,5.8884,4.8851
Michael Boxall,Minnesota United FC,3372,5,1,1,11,0.985,1.5052
Jamal Thiaré,Atlanta United FC,1185,34,14,5,2,6.3099,0.6154
Rob Holding,Colorado Rapids,587,5,2,0,0,0.4618,0.0
Mitja Ilenič,New York City FC,1254,12,4,2,6,0.7942,0.4775
Kyle Hiebert,St. Louis City SC,1884,4,2,1,5,1.4117,0.4766
Kaick,FC Dallas,2017,16,4,2,14,1.181,1.1282
Aaron Long,Los Angeles FC,1422,4,1,1,3,0.5741,0.1177
Mikael Uhre,Philadelphia Union,1562,45,16,6,23,6.1249,4.667
Harry Toffolo,Charlotte FC,435,2,0,0,4,0.1411,0.7292
Keegan Rosenberry,Colorado Rapids,1204,6,3,2,4,0.456,0.3512
